"","State","Brewery_id","Beer_ID","Style","Ounces","City","IBU","ABV","Beer_Name","Brewery_Name"
"1004"," KY",63,2539,"American Brown Ale",16,"Louisville",20,5,"The Brown Note","Against The Grain Brewery"
"1005"," KY",2,2674,"English Brown Ale",16,"Louisville",20,5,"The Brown Note","Against the Grain Brewery"
"1006"," KY",63,2540,"American IPA",16,"Louisville",68,8.2,"Citra Ass Down","Against The Grain Brewery"
"1007"," KY",2,2680,"Belgian Pale Ale",16,"Louisville",13,4,"Sho'nuff","Against the Grain Brewery"
"1008"," LA",153,2321,"American Blonde Ale",12,"Baton Rouge",31.5,5.5,"Turnrow Harvest Ale","Tin Roof Brewing Company"
"1009"," LA",175,484,"American Blonde Ale",12,"New Orleans",31.5,4.9,"NOLA Blonde Ale","New Orleans Lager & Ale Brewing ..."
"1010"," LA",534,514,"American Amber / Red Lager",12,"Abita Springs",17,4.5,"Abita Amber","Abita Brewing Company"
"1011"," LA",534,515,"Fruit / Vegetable Beer",12,"Abita Springs",13,4.2,"Purple Haze","Abita Brewing Company"
"1012"," LA",175,1582,"American Stout",16,"New Orleans",31.5,6.8,"Irish Channel Stout","New Orleans Lager & Ale Brewing ..."
"1013"," LA",270,1923,"American Pale Ale (APA)",12,"Shreveport",49,5.2,"Commotion APA","Great Raft Brewing Company"
"1014"," LA",153,1755,"American IPA",12,"Baton Rouge",60,7,"Juke Joint IPA","Tin Roof Brewing Company"
"1015"," LA",153,1754,"American Porter",12,"Baton Rouge",35,7,"Parade Ground Coffee Porter","Tin Roof Brewing Company"
"1016"," LA",270,1922,"American Pale Lager",12,"Shreveport",31.5,5.2,"Southern Drawl Pale Lager","Great Raft Brewing Company"
"1017"," LA",175,2272,"American Pale Ale (APA)",12,"New Orleans",31.5,5,"Rebirth Pale Ale","New Orleans Lager & Ale Brewing ..."
"1018"," LA",153,495,"American Pale Ale (APA)",12,"Baton Rouge",37,5.5,"Voodoo Bengal Pale Ale","Tin Roof Brewing Company"
"1019"," LA",175,1114,"American Double / Imperial IPA",16,"New Orleans",31.5,8.8,"MechaHopzilla","New Orleans Lager & Ale Brewing ..."
"1020"," LA",175,486,"American IPA",16,"New Orleans",31.5,6.5,"Hopitoulas IPA","New Orleans Lager & Ale Brewing ..."
