"","State","Brewery_id","Beer_ID","Style","Ounces","City","IBU","ABV","Beer_Name","Brewery_Name"
"763"," IL",176,2109,"American Stout",16,"Chicago",30,5.5,"Freedom Fries","Spiteful Brewing Company"
"764"," IL",362,971,"American Blonde Ale",12,"Lake Barrington",27,5.2,"Phat Chance","Wild Onion Brewing Company"
"765"," IL",362,430,"American Double / Imperial IPA",12,"Lake Barrington",100,8.2,"Hop Slayer Double IPA (2011)","Wild Onion Brewing Company"
"766"," IL",75,1041,"Bière de Garde",12,"Warrenville",30,4.5,"Testudo","Two Brothers Brewing Company"
"767"," IL",328,1448,"American Double / Imperial Pilsner",16,"Chicago",30,8,"Guest Lager","Half Acre Beer Company"
"768"," IL",65,2536,"Tripel",24,"Chicago",30,8.2,"Tripel Deke","SlapShot Brewing Company"
"769"," IL",75,2246,"American Dark Wheat Ale",12,"Warrenville",43,5.8,"Night Cat","Two Brothers Brewing Company"
"770"," IL",75,642,"American IPA",12,"Warrenville",30,6.5,"Outlaw IPA (2015)","Two Brothers Brewing Company"
"771"," IL",58,2015,"Fruit / Vegetable Beer",12,"Bloomington",30,5,"Strawberry Blonde","Destihl Brewery"
"772"," IL",45,418,"Herbed / Spiced Beer",12,"Chicago",31,6.1,"Fistmas Ale","Revolution Brewing Company"
